College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL,OC,BC,BCM,MBC,SC,SCA,ST
1026 Total,,,,,,,235,72.85,62.275,8.225,47,35.25,7.05,2.35
2025,AU UNIV,Non Autonomous,Co.Ed,COIMBATORE,Anna University Regional Campus - Coimbatore  Maruthamalai Main Road  Navavoor Bharathiyar University Post  Somayampalayam  Coimbatore District 641046,AD,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2025,AU UNIV,Non Autonomous,Co.Ed,COIMBATORE,Anna University Regional Campus - Coimbatore  Maruthamalai Main Road  Navavoor Bharathiyar University Post  Somayampalayam  Coimbatore District 641046,CS,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2025,AU UNIV,Non Autonomous,Co.Ed,COIMBATORE,Anna University Regional Campus - Coimbatore  Maruthamalai Main Road  Navavoor Bharathiyar University Post  Somayampalayam  Coimbatore District 641046,EC,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
2025,AU UNIV,Non Autonomous,Co.Ed,COIMBATORE,Anna University Regional Campus - Coimbatore  Maruthamalai Main Road  Navavoor Bharathiyar University Post  Somayampalayam  Coimbatore District 641046,EE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2025,AU UNIV,Non Autonomous,Co.Ed,COIMBATORE,Anna University Regional Campus - Coimbatore  Maruthamalai Main Road  Navavoor Bharathiyar University Post  Somayampalayam  Coimbatore District 641046,ME,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2025 Total,,,,,,,294,91.14,77.91,10.29,58.8,44.1,8.82,2.94
3011,AU UNIV,Non Autonomous,Co.Ed,TRICHIRAPPALLI,University College of Engineering  Tiruchirappalli  (Bharathidasan Institute of Technology)  Tiruchirappalli District 620024,AU,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
3011,AU UNIV,Non Autonomous,Co.Ed,TRICHIRAPPALLI,University College of Engineering  Tiruchirappalli  (Bharathidasan Institute of Technology)  Tiruchirappalli District 620024,BT,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
3011,AU UNIV,Non Autonomous,Co.Ed,TRICHIRAPPALLI,University College of Engineering  Tiruchirappalli  (Bharathidasan Institute of Technology)  Tiruchirappalli District 620024,CE,117,36.27,31.005,4.095,23.4,17.55,3.51,1.17
