College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL,Processed
1452,NM,Non Autonomous,Co.Ed,CHENGALPET,PERI Institute of Technology  Mannivakkam  West Tambaram  Chennai 600048,CB,38,14521452
1452,NM,Non Autonomous,Co.Ed,CHENGALPET,PERI Institute of Technology  Mannivakkam  West Tambaram  Chennai 600048,CE,19,14521452
1452,NM,Non Autonomous,Co.Ed,CHENGALPET,PERI Institute of Technology  Mannivakkam  West Tambaram  Chennai 600048,CS,115,14521452
1452,NM,Non Autonomous,Co.Ed,CHENGALPET,PERI Institute of Technology  Mannivakkam  West Tambaram  Chennai 600048,EC,38,14521452
1452,NM,Non Autonomous,Co.Ed,CHENGALPET,PERI Institute of Technology  Mannivakkam  West Tambaram  Chennai 600048,EE,19,14521452
1452,NM,Non Autonomous,Co.Ed,CHENGALPET,PERI Institute of Technology  Mannivakkam  West Tambaram  Chennai 600048,IT,38,14521452
1452,NM,Non Autonomous,Co.Ed,CHENGALPET,PERI Institute of Technology  Mannivakkam  West Tambaram  Chennai 600048,ME,19,14521452
1452 Total,,,,,,,324,1452 Total1452 Total
1501,NM,Non Autonomous,Co.Ed,RANIPET,Adhiparasakthi College of Engineering  Kalavai  Ranipet District 632506,CE,29,15011501
1501,NM,Non Autonomous,Co.Ed,RANIPET,Adhiparasakthi College of Engineering  Kalavai  Ranipet District 632506,CS,38,15011501
1501,NM,Non Autonomous,Co.Ed,RANIPET,Adhiparasakthi College of Engineering  Kalavai  Ranipet District 632506,EC,48,15011501
1501,NM,Non Autonomous,Co.Ed,RANIPET,Adhiparasakthi College of Engineering  Kalavai  Ranipet District 632506,EE,28,15011501
1501,NM,Non Autonomous,Co.Ed,RANIPET,Adhiparasakthi College of Engineering  Kalavai  Ranipet District 632506,IT,38,15011501
1501,NM,Non Autonomous,Co.Ed,RANIPET,Adhiparasakthi College of Engineering  Kalavai  Ranipet District 632506,ME,27,15011501
1501 Total,,,,,,,208,1501 Total1501 Total
1503,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arulmigu  Meenakshi Amman College of Engineering  Vadamavandal Thiruvannamalai District 604410,BT,19,15031503
1503,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arulmigu  Meenakshi Amman College of Engineering  Vadamavandal Thiruvannamalai District 604410,CE,20,15031503
1503,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arulmigu  Meenakshi Amman College of Engineering  Vadamavandal Thiruvannamalai District 604410,CH,23,15031503
1503,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arulmigu  Meenakshi Amman College of Engineering  Vadamavandal Thiruvannamalai District 604410,CS,34,15031503
1503,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arulmigu  Meenakshi Amman College of Engineering  Vadamavandal Thiruvannamalai District 604410,EC,49,15031503
1503,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arulmigu  Meenakshi Amman College of Engineering  Vadamavandal Thiruvannamalai District 604410,EE,20,15031503
1503,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arulmigu  Meenakshi Amman College of Engineering  Vadamavandal Thiruvannamalai District 604410,IC,12,15031503
1503,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arulmigu  Meenakshi Amman College of Engineering  Vadamavandal Thiruvannamalai District 604410,IT,12,15031503
1503,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arulmigu  Meenakshi Amman College of Engineering  Vadamavandal Thiruvannamalai District 604410,ME,70,15031503
1503 Total,,,,,,,259,1503 Total1503 Total
1504,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arunai Engineering College  Mathur  Thiruvannamalai District 606603,AD,38,15041504
1504,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arunai Engineering College  Mathur  Thiruvannamalai District 606603,AG,38,15041504
1504,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arunai Engineering College  Mathur  Thiruvannamalai District 606603,AM,38,15041504
1504,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arunai Engineering College  Mathur  Thiruvannamalai District 606603,BT,38,15041504
1504,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arunai Engineering College  Mathur  Thiruvannamalai District 606603,CE,19,15041504
1504,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arunai Engineering College  Mathur  Thiruvannamalai District 606603,CH,20,15041504
1504,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arunai Engineering College  Mathur  Thiruvannamalai District 606603,CS,77,15041504
1504,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arunai Engineering College  Mathur  Thiruvannamalai District 606603,EC,77,15041504
1504,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arunai Engineering College  Mathur  Thiruvannamalai District 606603,EE,38,15041504
1504,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arunai Engineering College  Mathur  Thiruvannamalai District 606603,IT,38,15041504
1504,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arunai Engineering College  Mathur  Thiruvannamalai District 606603,ME,38,15041504
1504,NM,Non Autonomous,Co.Ed,THIRUVANNAMALAI,Arunai Engineering College  Mathur  Thiruvannamalai District 606603,SC,38,15041504
1504 Total,,,,,,,497,1504 Total1504 Total
1505,MIN,Non Autonomous,Co.Ed,RANIPET,C Abdul Hakeem College of Engineering and Technology  Melvisharam  Ranipet District 632509,AD,29,15051505
1505,MIN,Non Autonomous,Co.Ed,RANIPET,C Abdul Hakeem College of Engineering and Technology  Melvisharam  Ranipet District 632509,CE,15,15051505
1505,MIN,Non Autonomous,Co.Ed,RANIPET,C Abdul Hakeem College of Engineering and Technology  Melvisharam  Ranipet District 632509,CS,59,15051505
1505,MIN,Non Autonomous,Co.Ed,RANIPET,C Abdul Hakeem College of Engineering and Technology  Melvisharam  Ranipet District 632509,EC,29,15051505
1505,MIN,Non Autonomous,Co.Ed,RANIPET,C Abdul Hakeem College of Engineering and Technology  Melvisharam  Ranipet District 632509,EE,15,15051505
1505,MIN,Non Autonomous,Co.Ed,RANIPET,C Abdul Hakeem College of Engineering and Technology  Melvisharam  Ranipet District 632509,IT,44,15051505
1505,MIN,Non Autonomous,Co.Ed,RANIPET,C Abdul Hakeem College of Engineering and Technology  Melvisharam  Ranipet District 632509,ME,29,15051505
1505 Total,,,,,,,220,1505 Total1505 Total
1507,NM,Non Autonomous,Co.Ed,VELLORE,Ganadipathy Tulsi�s Jain Engineering College  Kaniyambadi  Vellore District 632102,AD,38,15071507
1507,NM,Non Autonomous,Co.Ed,VELLORE,Ganadipathy Tulsi�s Jain Engineering College  Kaniyambadi  Vellore District 632102,CB,20,15071507
1507,NM,Non Autonomous,Co.Ed,VELLORE,Ganadipathy Tulsi�s Jain Engineering College  Kaniyambadi  Vellore District 632102,CS,38,15071507
1507,NM,Non Autonomous,Co.Ed,VELLORE,Ganadipathy Tulsi�s Jain Engineering College  Kaniyambadi  Vellore District 632102,EC,24,15071507
1507,NM,Non Autonomous,Co.Ed,VELLORE,Ganadipathy Tulsi�s Jain Engineering College  Kaniyambadi  Vellore District 632102,EE,28,15071507
1507,NM,Non Autonomous,Co.Ed,VELLORE,Ganadipathy Tulsi�s Jain Engineering College  Kaniyambadi  Vellore District 632102,IT,38,15071507
1507,NM,Non Autonomous,Co.Ed,VELLORE,Ganadipathy Tulsi�s Jain Engineering College  Kaniyambadi  Vellore District 632102,ME,27,15071507
1507 Total,,,,,,,213,1507 Total1507 Total
1509,MIN,Non Autonomous,Co.Ed,CHENNAI,Meenakshi College of Engineering  Vembuliamman Koil Street  K K Nagar (West)  Chennai 600078,AM,29,15091509
1509,MIN,Non Autonomous,Co.Ed,CHENNAI,Meenakshi College of Engineering  Vembuliamman Koil Street  K K Nagar (West)  Chennai 600078,CE,49,15091509
1509,MIN,Non Autonomous,Co.Ed,CHENNAI,Meenakshi College of Engineering  Vembuliamman Koil Street  K K Nagar (West)  Chennai 600078,CS,59,15091509
1509,MIN,Non Autonomous,Co.Ed,CHENNAI,Meenakshi College of Engineering  Vembuliamman Koil Street  K K Nagar (West)  Chennai 600078,EC,83,15091509
1509,MIN,Non Autonomous,Co.Ed,CHENNAI,Meenakshi College of Engineering  Vembuliamman Koil Street  K K Nagar (West)  Chennai 600078,EE,19,15091509
